Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Pruitt J.N., DiRienzo N., Kralj-Fišer S., Johnson J.C., Sih A.","24402975400;39261386400;15762503800;7406813642;7006332218;","Individual- and condition-dependent effects on habitat choice and choosiness",2011,"Behavioral Ecology and Sociobiology","65","10",,"1987","1995",,32,"10.1007/s00265-011-1208-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052765359&doi=10.1007%2fs00265-011-1208-0&partnerID=40&md5=661cdf67f4532a6e4c751e452532fd67","The Center for Population Biology, University of California, Davis, CA 95616, United States; Department of Biological Sciences, University of Pittsburgh, Pittsburgh, PA 15260, United States; Animal Behavior Graduate Group, Department of Neurobiology, Physiology, and Behavior, University of California, Davis, CA 95616, United States; Biozentrum Grindel, University of Hamburg, Martin-Luther-King Platz 3, 20146 Hamburg, Germany; Institute of Biology, Scientific Research Centre, Slovenian Academy of Sciences and Arts, SI 1000 Ljubljana, Slovenia; Division of Mathematical and Natural Sciences (2352), Arizona State University, West Thunderbird Rd., Glendale, AZ 85306, United States; Department of Environmental Science and Policy, University of California, Davis, CA 95616, United States","Pruitt, J.N., The Center for Population Biology, University of California, Davis, CA 95616, United States, Department of Biological Sciences, University of Pittsburgh, Pittsburgh, PA 15260, United States; DiRienzo, N., Animal Behavior Graduate Group, Department of Neurobiology, Physiology, and Behavior, University of California, Davis, CA 95616, United States; Kralj-Fišer, S., Biozentrum Grindel, University of Hamburg, Martin-Luther-King Platz 3, 20146 Hamburg, Germany, Institute of Biology, Scientific Research Centre, Slovenian Academy of Sciences and Arts, SI 1000 Ljubljana, Slovenia; Johnson, J.C., Division of Mathematical and Natural Sciences (2352), Arizona State University, West Thunderbird Rd., Glendale, AZ 85306, United States; Sih, A., The Center for Population Biology, University of California, Davis, CA 95616, United States, Department of Environmental Science and Policy, University of California, Davis, CA 95616, United States","Research on consistent individual differences in behavior, or ""behavioral syndromes"", continues to grow rapidly, and yet, the aspects of behavior under consideration have remained remarkably limited. Here, we consider individual variation in consistency of choice (termed here ""choosiness""), as expressed during habitat choice. We repeatedly tested the responses of female Western Black Widows, Latrodectus hesperus, to two cues of habitat quality: prey chemical cues and variation in web site illuminance. We estimated females' response by the distance they positioned themselves from (1) the source of prey chemical cues and (2) the darkest edge of our test arena. Individuals with low variance in their responses are deemed more ""choosy"", whereas individuals with high variance are deemed less ""choosy"". Generally, most females initiated web construction near the source of the prey chemical cues and tended to place themselves in low-light conditions. However, we detected strong, repeatable differences in females' intensity of response, and within-individual variance of response (i.e., choosiness) was correlated across situations: females with highly consistent responses towards cricket chemical cues also exhibited highly consistent responses towards variation in light conditions. When deprived of food for extended periods, females were indistinguishable in their responses towards prey chemical cues, but tended to initiate web construction in brighter lighting conditions. Food-deprived females universally exhibited higher variance and diminished consistency in their responses (i.e., they were less choosy). Additionally, higher choosiness was associated with greater mass loss during choice trials, suggesting choosiness is energetically costly. Our results demonstrate that consistency of response to environmental cues is yet another element of behavior that varies among individuals and variation in choosiness could beget speed/quality trade-offs during animal decision making. © 2011 Springer-Verlag.","Aggression; Choice experiment; Habitat selection; Rapid environmental change; Theridiidae","aggression; behavioral ecology; behavioral response; chemical cue; cricket; environmental change; habitat quality; habitat selection; prey capture; research work; spider; trade-off; Animalia; Latrodectus; Latrodectus hesperus; Theridiidae","Pruitt, J. N.; Department of Biological Sciences, University of Pittsburgh, Pittsburgh, PA 15260, United States; email: Agelenopsis@gmail.com",,,03405443,,BESOD,,"English","Behav. Ecol. Sociobiol.",Article,,Scopus,2-s2.0-80052765359
"Dzieweczynski T.L.","8846930000;","Short-term exposure to an endocrine disruptor affects behavioural consistency in male threespine stickleback",2011,"Aquatic Toxicology","105","3-4",,"681","687",,9,"10.1016/j.aquatox.2011.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053438072&doi=10.1016%2fj.aquatox.2011.09.010&partnerID=40&md5=f2ab36858c1e4a4099e438a05bc50c3e","Department of Psychology, University of New England, 11 Hills Beach Rd, Biddeford, ME 04005, United States","Dzieweczynski, T.L., Department of Psychology, University of New England, 11 Hills Beach Rd, Biddeford, ME 04005, United States","It has been established that exposure to xenooestrogens can have profound effects on reproductive and aggressive behaviours in aquatic organisms. Studies on the effects of 17α-ethinyloestradiol (EE2) on behaviour, however, rarely examine these effects over multiple trials, across time, or across contexts. In addition, it is possible that individuals vary in their sensitivity to EE2 and individuals may differ in the degree to which their behaviour is affected. The study of consistent individual differences in behaviour has grown in popularity in recent years perhaps because of the evolutionary questions this behavioural variation raises. Adult male threespine stickleback (Gasterosteus aculeatus) from an anadromous population repeatedly received the simultaneous presentation of a dummy male and dummy female conspecific both before and after exposure to a short-term, nominal (15ngL -1) concentration of 17α-ethinyloestradiol (EE2). These before and after measures were then compared against one another as well as against responses of males in a control group that was not exposed to EE2. Courtship, aggression, and nesting behaviours were all affected by EE2 exposure. In addition, behavioural consistency over trials was markedly reduced after EE2 exposure, as shown by lower repeatability values in the after exposure measures and in weaker correlations between the before and after exposure measures in the EE2 group compared to the control group. This suggests that male threespine stickleback vary in their sensitivity to EE2. This study is one of the first to examine the effects of short-term EE2 exposure on behaviour across trials and has important implications for population-level fitness consequences of xenooestrogens. © 2011 Elsevier B.V.","17α-Ethinyloestradiol (EE2); Aggression; Consistent individual differences; Courtship; Endocrine disruptors; Threespine stickleback","endocrine disruptor; ethinylestradiol; aggression; concentration (composition); correlation; courtship; endocrine disruptor; estrogenic compound; fish; nesting behavior; pollution exposure; aggression; aquatic species; article; behavior change; concentration (parameters); controlled study; courtship; ecotoxicology; environmental exposure; female; gasterosteus aculeatus; male; nesting; nonhuman; priority journal; reproductive fitness; sensitivity analysis; Aggression; Animals; Behavior, Animal; Courtship; Endocrine Disruptors; Ethinyl Estradiol; Male; Nesting Behavior; Smegmamorpha; Toxicity Tests, Acute; Water Pollutants, Chemical; Gasterosteus; Gasterosteus aculeatus","Dzieweczynski, T.L.; Department of Psychology, University of New England, 11 Hills Beach Rd, Biddeford, ME 04005, United States; email: tdzieweczynski@une.edu",,,0166445X,,AQTOD,"21975189","English","Aquat. Toxicol.",Article,,Scopus,2-s2.0-80053438072
"Dzieweczynski T.L., Crovo J.A.","8846930000;49663013400;","Shyness and boldness differences across contexts in juvenile three-spined stickleback Gasterosteus aculeatus from an anadromous population",2011,"Journal of Fish Biology","79","3",,"776","788",,19,"10.1111/j.1095-8649.2011.03064.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052376734&doi=10.1111%2fj.1095-8649.2011.03064.x&partnerID=40&md5=d100cb8d9058a420afa860687eda3a3f","Department of Psychology, University of New England, 11 Hills Beach Road, Biddeford, ME 04005, United States; Department of Biology, University of New England, 11 Hills Beach Road, Biddeford, ME 04005, United States","Dzieweczynski, T.L., Department of Psychology, University of New England, 11 Hills Beach Road, Biddeford, ME 04005, United States; Crovo, J.A., Department of Biology, University of New England, 11 Hills Beach Road, Biddeford, ME 04005, United States","To examine if a behavioural syndrome is present in juvenile three-spined stickleback Gasterosteus aculeatus from anadromous populations, individuals were repeatedly exposed to a variety of conditions to assess behavioural consistency and determine if a shyness-boldness syndrome occurred. The degree of exploration in a novel environment was positively correlated with boldness in all other test conditions. Activity level in all contexts, foraging, predator inspection and shoaling were found to be repeatable while other behaviours such as latency to respond appeared more plastic. Both similarities and differences were found for behavioural correlations within and across contexts when compared to prior studies on freshwater populations of G. aculeatus. This suggests that selection pressures may vary across ontogeny and environments. © 2011 The Authors. Journal of Fish Biology © 2011 The Fisheries Society of the British Isles.","Behavioural syndromes; Consistent individual differences; Repeatability; Shy-bold continuum","animal; animal behavior; article; comparative study; ecosystem; principal component analysis; Smegmamorpha; Animals; Behavior, Animal; Ecosystem; Principal Component Analysis; Smegmamorpha; Gasterosteus aculeatus","Dzieweczynski, T.L.; Department of Psychology, University of New England, 11 Hills Beach Road, Biddeford, ME 04005, United States; email: tdzieweczynski@une.edu",,,00221112,,JFIBA,"21884112","English","J. Fish Biol.",Article,,Scopus,2-s2.0-80052376734
"Le Vin A.L., Mable B.K., Taborsky M., Heg D., Arnold K.E.","35728935800;6603032791;7004445566;57201531718;35789898300;","Individual variation in helping in a cooperative breeder: Relatedness versus behavioural type",2011,"Animal Behaviour","82","3",,"467","477",,27,"10.1016/j.anbehav.2011.05.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051672798&doi=10.1016%2fj.anbehav.2011.05.021&partnerID=40&md5=4d6b5a6c71b1c3c4e01129969f6e4844","Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, United Kingdom; Department of Behavioural Ecology, Institute of Ecology and Evolution, University of Bern, Switzerland; Environment Department, University of York, United Kingdom","Le Vin, A.L., Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, United Kingdom; Mable, B.K., Institute of Biodiversity, Animal Health and Comparative Medicine, College of Medical, Veterinary and Life Sciences, University of Glasgow, United Kingdom; Taborsky, M., Department of Behavioural Ecology, Institute of Ecology and Evolution, University of Bern, Switzerland; Heg, D., Department of Behavioural Ecology, Institute of Ecology and Evolution, University of Bern, Switzerland; Arnold, K.E., Environment Department, University of York, United Kingdom","Helpers in cooperatively breeding groups can vary hugely in the variety and level of care they provide. Several studies suggest that kin selection alone cannot be invoked to explain variation in helping for many species, but there have been few explicit tests of this under controlled conditions. Here, we investigated whether relatedness to the breeding pair or consistent individual differences in behaviours explained variation in helping by the cooperatively breeding cichlid Neolamprologus pulcher. We established standardized social groups consisting of a breeding pair and one related (r = 0.5) and one unrelated (r = 0) helper. Two forms of helping, territory maintenance and territory defence, were measured repeatedly under controlled conditions: helping was variable between, but consistent within, individuals. Furthermore, there was some evidence that helpers that carried out more maintenance also performed more defence. Contrary to the kin selection hypothesis, relatedness did not predict the amount or variety of helping executed. Risk responsiveness, activity levels and aggressiveness were repeatable within individuals, so constituted 'behavioural types' (or personality traits), but were uncorrelated with each other. More aggressive, risk-prone or more active helpers participated in more territory defence than submissive, risk-averse or inactive helpers. Risk-prone individuals contributed more to territory maintenance than risk-averse helpers. Overall, differences in behavioural type, rather than relatedness, explained most variation in helping behaviour in N. pulcher. This study highlights the importance of considering consistent individual differences in behaviour for predicting participation and performance in complex social interactions. © 2011 The Association for the Study of Animal Behaviour.","Aggressiveness; Boldness; Kin selection; Neolamprologus pulcher; Personality; Territory defence","aggression; behavioral ecology; defense behavior; kin selection; perciform; relatedness; reproductive behavior; risk factor; territory; Cichlidae; Neolamprologus pulcher","Arnold, K.E.; Environment Department, University of York, Heslington, York YO10 5DD, United Kingdom; email: Kathryn.Arnold@york.ac.uk",,,00033472,,ANBEA,,"English","Anim. Behav.",Article,,Scopus,2-s2.0-80051672798
"Rodríguez R.L., Gloudeman M.D.","7401544846;49963393600;","Estimating the repeatability of memories of captured prey formed by Frontinella communis spiders (Araneae: Linyphiidae)",2011,"Animal Cognition","14","5",,"675","682",,9,"10.1007/s10071-011-0402-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052047949&doi=10.1007%2fs10071-011-0402-9&partnerID=40&md5=fe46ed7b67158dafffb878c7f81edf56","Department of Biological Sciences, University of Wisconsin-Milwaukee, Lapham Hall, 3209 N. Maryland Ave., Milwaukee, WI 53201, United States","Rodríguez, R.L., Department of Biological Sciences, University of Wisconsin-Milwaukee, Lapham Hall, 3209 N. Maryland Ave., Milwaukee, WI 53201, United States; Gloudeman, M.D., Department of Biological Sciences, University of Wisconsin-Milwaukee, Lapham Hall, 3209 N. Maryland Ave., Milwaukee, WI 53201, United States","How animals deal with the challenges posed by their ecological and social surroundings often hinges on the acquisition and storage of information about those surroundings. That is, an animal's fitness may be influenced by variation in the mental representations it has formed of its environment. Studying such variation is challenging because it involves documenting inherently subjective phenomena. However, observations of behaviour may provide objective descriptions of mental representations. We used the behaviour of Frontinella communis spiders after removal of prey from their webs as an assay of the contents of their memories of the prey. Spiders searched for lost prey, exerting greater effort in searching for larger prey, and distinguishing between the object of the search and old prey remnants. We thus infer that spider memories included information about prey features such as size or quality. We found significant repeatability in the spiders' searching behaviour, suggesting repeatability in memory content. As an indication of consistent between-individual differences in searching and memory, these repeatability estimates suggest that selection may act to shape mental representations and their relationship with foraging behaviour. © 2011 Springer-Verlag.","Animal cognition; Cognitive ecology; Foraging; Web spider","animal; article; cognition; female; memory; predation; spider; Animals; Cognition; Female; Memory; Predatory Behavior; Spiders; Animalia; Araneae; Frontinella communis; Linyphiidae","Rodríguez, R. L.; Department of Biological Sciences, University of Wisconsin-Milwaukee, Lapham Hall, 3209 N. Maryland Ave., Milwaukee, WI 53201, United States; email: rafa@uwm.edu",,,14359448,,,"21519902","English","Anim. Cogn.",Article,,Scopus,2-s2.0-80052047949
"Schuett W., Dall S.R., Baeumer J., Kloesener M.H., Nakagawa S., Beinlich F., Eggers T.","26032274800;57204494340;49861065700;37064762400;55949096500;37064262600;8142960800;","Personality variation in a clonal insect: The pea aphid, Acyrthosiphon pisum",2011,"Developmental Psychobiology","53","6",,"631","640",,53,"10.1002/dev.20538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051900814&doi=10.1002%2fdev.20538&partnerID=40&md5=06c7db0675c226441761316d5d972aab","Experimental Ecology Group, Department for Biology and Chemistry, University of Osnabrueck, Barbarastrasse 11, 49069 Osnabrueck, Germany; Centre for Ecology and Conservation, School of Biosciences, University of Exeter, Cornwall Campus, Penryn, Cornwall TR10 9EZ, United Kingdom; Department of Zoology, University of Otago, 340 Great King Street, Dunedin, New Zealand; Agricultural Products Global Research, Data Management and Biometrics, BASF The Chemical Company, Carl Bosch Str., 67117 Limburgerhof, Germany; Finnish Museum of Natural History, FI-00014 University of Helsinki, P.O. Box 17, Helsinki, Finland","Schuett, W., Experimental Ecology Group, Department for Biology and Chemistry, University of Osnabrueck, Barbarastrasse 11, 49069 Osnabrueck, Germany, Finnish Museum of Natural History, FI-00014 University of Helsinki, P.O. Box 17, Helsinki, Finland; Dall, S.R., Centre for Ecology and Conservation, School of Biosciences, University of Exeter, Cornwall Campus, Penryn, Cornwall TR10 9EZ, United Kingdom; Baeumer, J., Experimental Ecology Group, Department for Biology and Chemistry, University of Osnabrueck, Barbarastrasse 11, 49069 Osnabrueck, Germany; Kloesener, M.H., Experimental Ecology Group, Department for Biology and Chemistry, University of Osnabrueck, Barbarastrasse 11, 49069 Osnabrueck, Germany; Nakagawa, S., Department of Zoology, University of Otago, 340 Great King Street, Dunedin, New Zealand; Beinlich, F., Experimental Ecology Group, Department for Biology and Chemistry, University of Osnabrueck, Barbarastrasse 11, 49069 Osnabrueck, Germany; Eggers, T., Experimental Ecology Group, Department for Biology and Chemistry, University of Osnabrueck, Barbarastrasse 11, 49069 Osnabrueck, Germany, Agricultural Products Global Research, Data Management and Biometrics, BASF The Chemical Company, Carl Bosch Str., 67117 Limburgerhof, Germany","Individuals are often consistent in their behavior but vary from each other in the level of behavior shown. Despite burgeoning interest in such animal personality variation, studies on invertebrates are scarce, and studies on clonal invertebrates nonexistent. This is surprising given the obvious advantages of using invertebrates/clones to tackle the crucial question why such consistent behavioral differences exist. Here we show that individuals of clonal pea aphids exhibit consistent behavioral differences in their escape responses to a predator attack (dropping vs. nondropping off a plant). However, behavior was not repeatable at the clonal level. Genetically identical clones expressed various phenotypes but different clones produced different proportions of each phenotype (dropper, nondropper, and inconsistent). Manipulations of early environmental conditions had little qualitative impact on such patterns. We discuss the importance of our findings for future studies of the evolutionary and ecological consequences of personality variation. © 2011 Wiley Periodicals, Inc.","Acyrthosiphon pisum; Behavioral consistency; Behavioral variation; Clone; Coccinella septempunctata; Environment; Pea aphid; Personality; Predation; Risk-taking; Temperament","animal; animal behavior; aphid; article; escape behavior; individuality; personality; physiology; Animals; Aphids; Behavior, Animal; Escape Reaction; Individuality; Personality; Acyrthosiphon pisum; Animalia; Aphididae; Coccinella septempunctata; Hexapoda; Invertebrata; Pisum sativum","Schuett, W.; Experimental Ecology Group, Department for Biology and Chemistry, University of Osnabrueck, Barbarastrasse 11, 49069 Osnabrueck, Germany; email: wiebkesch@googlemail.com",,,00121630,,DEPBA,"21365642","English","Dev. Psychobiol.",Article,,Scopus,2-s2.0-80051900814
"König von Borstel U., Euent S., Graf P., König S., Gauly M.","38361824400;54392794700;54392887400;14323442200;7003428527;","Equine behaviour and heart rate in temperament tests with or without rider or handler",2011,"Physiology and Behavior","104","3",,"454","463",,36,"10.1016/j.physbeh.2011.05.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959857368&doi=10.1016%2fj.physbeh.2011.05.010&partnerID=40&md5=290e71bbb3c1fc6f6e29770f05cc09b2","Department of Animal Science, University of Goettingen, Albrecht-Thaer-Weg 3, 37075 Goettingen, Germany; Department of Animal Breeding, University of Kassel, Nordbahnhofstraße 1a, 37213 Witzenhausen, Germany","König von Borstel, U., Department of Animal Science, University of Goettingen, Albrecht-Thaer-Weg 3, 37075 Goettingen, Germany; Euent, S., Department of Animal Science, University of Goettingen, Albrecht-Thaer-Weg 3, 37075 Goettingen, Germany; Graf, P., Department of Animal Science, University of Goettingen, Albrecht-Thaer-Weg 3, 37075 Goettingen, Germany; König, S., Department of Animal Breeding, University of Kassel, Nordbahnhofstraße 1a, 37213 Witzenhausen, Germany; Gauly, M., Department of Animal Science, University of Goettingen, Albrecht-Thaer-Weg 3, 37075 Goettingen, Germany","The aim of the present study was to compare horses' heart rate (HR), heart rate variability (RMSSD, pNN50) and behaviour in the same temperament test when being ridden, led, and released free. Behavioural measurements included scores and linear measurements for reactivity (R), activity (A), time to calm down (T) and emotionality (E), recorded during the approach (1) and/or during confrontation with the stimulus (2). Sixty-five horses were each confronted 3 times (1 ridden, 1 led, 1 free running in balanced order) with 3 novel and/or sudden stimuli. Mixed model analysis indicated that leading resulted in the lowest (P < 0.05 throughout) reactions as measured by A1, A2, E1, E2, R2, and pNN50 while riding produced the strongest (A1, T2, HR, RMSSD, pNN50) or medium (E1, E2, R2) reactions. Free running resulted either in the strongest (A2, E1, E2, R2) or in the lowest (A1, T2, HR, RMSSD, pNN50) reactions. The repeatability across tests for HR (0.57), but not for RMSSD (0.23) or pNN50 (0.25) was higher than for any behavioural measurement: the latter ranged from values below 0.10 (A1, A2, T2) to values between 0.30 and 0.45 (E1, E2, R2). Overall, the results show that a rider or handler influences, but not completely masks, the horses' intrinsic behaviour in a temperament test, and this influence appeared to be stronger on behavioural variables and heart rate variability than on the horses' heart rates. Taking both practical considerations and repeatabilities into account, reactivity appears to be the most valuable parameter. Emotionality and heart rate can also yield valid results reflecting additional dimensions of temperament although their practical relevance may be less obvious. If a combination of observed variables is chosen with care, a valid assessment of a horse's temperament may be possible in all types of tests. However, in practice, tests that resemble the practical circumstances most closely, i.e. testing riding horses under a rider, should be chosen. © 2011 Elsevier B.V.","Equine; Heart rate variability; Horseback riding; Human-animal interaction; Reactivity; Temperament","animal behavior; animal experiment; article; auditory stimulation; emotionality; exercise; female; heart rate variability; horse; horseback riding; male; nonhuman; priority journal; tactile stimulation; visual stimulation; Animals; Behavior, Animal; Female; Handling (Psychology); Heart Rate; Horses; Male; Statistics as Topic; Temperament","König von Borstel, U.; Department of Animal Science, University of Goettingen, Albrecht-Thaer-Weg 3, 37075 Goettingen, Germany; email: koenigvb@gwdg.de",,,00319384,,PHBHA,"21616087","English","Physiol. Behav.",Article,,Scopus,2-s2.0-79959857368
"Adamczyk K., Słania A., Gil Z., Felenczak A., Bulla J.","40461161700;44961220100;56248965300;16063346300;7004183438;","Relationships between milk performance and behaviour of cows under loose housing conditions [Współzależności mie{ogonek}dzy użytkowościa{ogonek} mleczna{ogonek} krów a ich behawiorem w warunkach chowu wolnostanowiskowego]",2011,"Annals of Animal Science","11","2",,"283","293",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960944427&partnerID=40&md5=b05324fe2c1c1d49a9a1d7374bc4192b","University of Agriculture in Krakow, Department of Cattle, Breeding, al Mickiewicza 24/28, 30-059 Kraków, Poland; Slovak University of Agriculture, Faculty of Biotechnology and Food Sciences, Tr. A. Hlinku 2, 949 76 Nitra, Slovenia","Adamczyk, K., University of Agriculture in Krakow, Department of Cattle, Breeding, al Mickiewicza 24/28, 30-059 Kraków, Poland; Słania, A., University of Agriculture in Krakow, Department of Cattle, Breeding, al Mickiewicza 24/28, 30-059 Kraków, Poland; Gil, Z., University of Agriculture in Krakow, Department of Cattle, Breeding, al Mickiewicza 24/28, 30-059 Kraków, Poland; Felenczak, A., University of Agriculture in Krakow, Department of Cattle, Breeding, al Mickiewicza 24/28, 30-059 Kraków, Poland; Bulla, J., Slovak University of Agriculture, Faculty of Biotechnology and Food Sciences, Tr. A. Hlinku 2, 949 76 Nitra, Slovenia","The aim of the study was to determine relationships between the milk performance and behaviour of cows under the loose-housing system. Forty-nine Holstein-Friesian cows from the same technological group were investigated. The following parameters were analysed: milk yield and milking time at 4 successive milkings, body weight, age and health, hornedness/hornlessness, days from cow placement in the group, number of days from last calving, number of days from last oestrus, and number of days of pregnancy. The behavioural traits analysed were walking activity, the speed of cow approaching the feeding table, the order of cow entry into the milking parlour during milking, and cow temperament. Considerable repeatability was found for the order of the cows at different milkings, with no correlation between this trait and cows' milk yield. The speed of cow approaching the feeding table was not repeatable.","Cow behaviour; Milk performance",,"Adamczyk, K.; University of Agriculture in Krakow, Department of Cattle, Breeding, al Mickiewicza 24/28, 30-059 Kraków, Poland; email: rzadamcz@cyfronet.pl",,,16423402,,,,"English; Polish","Ann. Anim. Sci.",Article,,Scopus,2-s2.0-79960944427
"Arnold B.D., Wilkinson G.S.","9738499500;7202155677;","Individual specific contact calls of pallid bats (Antrozous pallidus) attract conspecifics at roosting sites",2011,"Behavioral Ecology and Sociobiology","65","8",,"1581","1593",,39,"10.1007/s00265-011-1168-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960167345&doi=10.1007%2fs00265-011-1168-4&partnerID=40&md5=a760cf0be191fe5eab033e0073026a35","Department of Biology, University of Maryland, College Park, MD, United States","Arnold, B.D., Department of Biology, University of Maryland, College Park, MD, United States; Wilkinson, G.S., Department of Biology, University of Maryland, College Park, MD, United States","In several bird and mammal species, contact calls are utilized to maintain group cohesion and coordinate group movement. From a signal design perspective, contact calls typically exhibit acoustic features that make them easily localizable and encode information about individual or group identity. Pallid bats (Antrozous pallidus) are unusual among vespertilionids in that they often emit a loud, partially audible frequency-modulated social call several times in rapid succession while in flight. This call appears to function as a contact call in that it is frequently given when bats return from foraging and perform circular flights before entering a crevice roost. However, the degree to which pallid bats respond to the calls of conspecifics and what information is provided in the call is unknown. Thus, the goal of this study was to investigate pallid bat calling behavior to determine if calls attract roostmates or elicit responses from them and provide sufficient information for individual recognition. In playback studies, we found that contact calls elicit calls and approaches and that free-flying bats respond more to familiar than unfamiliar calls. In addition, analysis of frequency and temporal measurements of calls collected from multiple sites and spectral cross correlation analysis of calls recorded from the same radiotagged bats on multiple evenings revealed that the frequency pattern of contact calls is highly repeatable over time within individuals but exhibits significant differences among individuals. Thus, contact call structure appears to be unique to individuals and stable through time, which makes these calls well-suited for roostmate recognition. © 2011 Springer-Verlag.","Communication; Fission-fusion; Signature call; Vespertilionid bat","bat; calling behavior; conspecific; flight activity; frequency analysis; group behavior; mate recognition; movement; roost site; roosting; temporal analysis; Antrozous; Antrozous pallidus; Aves; Mammalia; Vespertilionidae","Arnold, B. D.; Department of Biology, University of Maryland, College Park, MD, United States; email: bryan.d.arnold@gmail.com",,,03405443,,BESOD,,"English","Behav. Ecol. Sociobiol.",Article,,Scopus,2-s2.0-79960167345
"Martins C.I.M., Conceição L.E.C., Schrama J.W.","9533253300;6701845714;7006902158;","Consistency of individual variation in feeding behaviour and its relationship with performance traits in Nile tilapia Oreochromis niloticus",2011,"Applied Animal Behaviour Science","133","1-2",,"109","116",,7,"10.1016/j.applanim.2011.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955178355&doi=10.1016%2fj.applanim.2011.05.001&partnerID=40&md5=e0ecc9622fe937501c405b235c061dbf","Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH Wageningen, Netherlands; Centro de Ciências Do Mar, Universidade Do Algarve, Campus de Gambelas, 8005-139 Faro, Portugal","Martins, C.I.M., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH Wageningen, Netherlands, Centro de Ciências Do Mar, Universidade Do Algarve, Campus de Gambelas, 8005-139 Faro, Portugal; Conceição, L.E.C., Centro de Ciências Do Mar, Universidade Do Algarve, Campus de Gambelas, 8005-139 Faro, Portugal; Schrama, J.W., Aquaculture and Fisheries Group, Wageningen University, P.O. Box 338, 6700 AH Wageningen, Netherlands","Feed intake is commonly used as one of the most important performance indicators in fish. However, very little is known about the behavioural processes involved in ingesting food such as meal duration, feeding frequency and latency to start eating. This study aims at the characterization of feeding behaviour in Nile tilapia Oreochromis niloticus in terms of consistency of individual differences over time and correlation with performance traits. Seventy-two individuals were individually housed for 27 days. These fish had three different weight (age) categories: low (initial body weight: 61.32 ± 5.97. g), middle (151.19 ± 4.26. g) and high (265.90 ± 19.13. g), each containing 24 fish. Daily feed intake was recorded per fish. On days 8, 15 and 21 feeding behaviour was assessed by measuring the latency to start feeding (LAT, min), the total feeding time (TFT, min) and the number of feeding acts (NFA). In the end of the experimental period, fish were weighed and individual growth rate and feed efficiency (measured as residual feed intake) determined. Results show that feeding latency and the number of feeding acts have significant repeatability estimates for all weight classes. These estimates were, however, low in magnitude and decreased as the weight class increased. The correlation between the different feeding behaviours showed that individuals that are more active during feeding (higher NFA) on average, start to consume their feed earlier (lower LAT) and for longer periods (higher TFT). The number of feeding acts was significantly correlated with both feed intake and growth in all size classes. The residual feed intake was correlated with feeding latency only in the small weight class. These results showed that individual differences in feeding behaviour have low repeatability estimates and can partly explain differences in performance traits in juveniles of Nile tilapia. © 2011 Elsevier B.V.","Appetite; Consistency; Feeding strategy; Individual differences; Maintenance requirements; Repeatability","age class; body mass; cichlid; feeding behavior; food intake; growth rate; individual variation; juvenile; life history trait; performance assessment; temporal variation; Oreochromis niloticus","Martins, C.I.M.; Centro de Ciências Do Mar, Universidade Do Algarve, Campus de Gambelas, 8005-139 Faro, Portugal; email: cimartins@ualg.pt",,,01681591,,AABSE,,"English","Appl. Anim. Behav. Sci.",Article,,Scopus,2-s2.0-80955178355
