key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract
Dammhahn_2012_ANIMBEHA,is risk taking during foraging a personality trait? a field test for cross-context consistency in boldness,"Dammhahn, Melanie and Almeling, Laura",ANIMAL BEHAVIOUR,NA,84,NA,1131-1139,2012,NA,10.1016/j.anbehav.2012.08.014,"During foraging, animals have to balance the risk of predation with the energy gain. The amount of risk animals take for a given resource depends on their energy budget but is expected also to vary between individuals of different personality types. We tested whether individuals of free-ranging grey mouse lemurs, Microcebus murinus, forage risk-sensitively and are consistent in their risk-taking behaviour. Furthermore, we tested whether boldness towards a novel object predicts risk taking in a foraging task. In a field experiment, we simulated low and high predation risk at artificial feeding sites. During focal platform observations, we quantified behaviours related to exploration and feeding for 36 individuals. Furthermore, we used a novel object test to quantify variation in boldness for 22 of these individuals. As predicted, grey mouse lemurs foraged risk-sensitively indicated by longer latencies to enter a feeding platform and to start feeding as well as by relatively longer feeding time compared to nonfeeding in high-risk situations. Individual differences in risk taking were repeatable and repeatability increased with increasing risk. Individual plasticity was higher for low-risk individuals providing field evidence for coping styles. There was no relationship between individual body condition and risk-taking behaviour. Finally, boldness measured in a novel object test was correlated with risk taking in a foraging task, providing a rare ecological validation for this personality trait. These results suggest that intrinsic individual differences in boldness need to be considered as an important source of variation when testing predictions of risk-sensitive foraging using optimality approaches. (C) 2012 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
David_2011_ANIMBEHA_a,personality affects zebra finch feeding success in a producer-scrounger game,"David, Morgan and Cezilly, Frank and Giraldeau, Luc-Alain",ANIMAL BEHAVIOUR,NA,82,NA,61-67,2011,NA,10.1016/j.anbehav.2011.03.025,"Recent evidence strongly suggests that natural selection can favour the evolution of consistent individual differences in behaviour ('personalities'). Indeed, personality shows heritable variation and has been linked to fitness in many species. However, the fitness effects of personality are highly variable within and between species. Furthermore, the nature of the causal influence of personality on an organism's fitness remains unclear so far. Competition has been proposed as a factor modulating this relationship. Thus, personality has been found to affect individual success in competition by interference in a few species, but its influence in scramble competition remains unexplored. We assessed exploratory tendencies (thought to be a key component of personality) in a model species, the zebra finch, Taeniopygia guttata. In a first session, we formed foraging flocks composed of four individuals with different exploration scores, and allowed them to play producer-scrounger games repeatedly. During a second session, individuals were reassigned to different flocks to check for consistency in the influence of exploratory tendency across different social contexts. Exploratory tendency influenced individual feeding success during the first session but not during the second one. High-exploratory birds were less successful at finding food (i.e. playing the producer tactic) and consequently had a lower feeding success, but were presumably able to adjust their behaviour between sessions. We discuss our results in relation to the interactive effects of both personality and experience, and highlight the role of competition processes on the evolution of personality. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
David_2011_ANIMBEHA_b,"personality predicts social dominance in female zebra finches, taeniopygia guttata, in a feeding context","David, Morgan and Auclair, Yannick and Cezilly, Frank",ANIMAL BEHAVIOUR,NA,81,NA,219-224,2011,NA,10.1016/j.anbehav.2010.10.008,"Although personality has been defined as a suite of correlated behaviours, most studies of animal personality actually consider correlations between a few traits. We examined the repeatability and correlational structure of five potential personality traits (activity, neophobia, exploratory tendencies, risk-taking behaviour and obstinacy), in female zebra finches. In addition, we assessed to what extent personality influenced social dominance in a feeding context in this gregarious species. All personality traits were found to be highly repeatable within individuals. In addition, except for obstinacy, all of them were related to each other, thus defining a behavioural syndrome. Social dominance was predicted by personality, with proactive individuals being more likely to be dominant. Our results suggest that personality can be considered as a new static factor influencing within-group hierarchies. We finally discuss these results in terms of the consequences for the evolution of personalities and the need to take several traits into account to provide full descriptions of individual personality. (C) 2010 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
David_2011_PLOONE,personality may confound common measures of mate-choice,"David, Morgan and Cezilly, Frank",PLOS ONE,NA,6,NA,NA,2011,NA,10.1371/journal.pone.0024778,"The measurement of female mating preferences is central to the study of the evolution of male ornaments. Although several different methods have been developed to assess sexual preference in some standardized way, the most commonly used procedure consists of recording female spatial association with different males presented simultaneously. Sexual preference is then inferred from time spent in front of each male. However, the extent to which the measurement of female mate-choice is related to exploration tendencies has not been addressed so far. In the present study we assessed the influence of variation in exploration tendencies, a trait closely associated to global personality, on the measurement of female mating preference in the zebra finch (Taeniopygia guttata) using the widely used four-chamber choice-apparatus. The number of movements performed within both exploration and mate-choice apparatus was consistent within and across the two contexts. In addition, personality explained variation in selectivity, preference strength and consistency. High-exploratory females showed lower selectivity, lower preference scores and displayed more consistent preference scores. Our results suggest that variation in personality may affect the measurement of female mating preference and may contribute to explain existing inconsistencies across studies."
David_2012_ETHO,assessing short- and long-term repeatability and stability of personality in captive zebra finches using longitudinal data,"David, Morgan and Auclair, Yannick and Cezilly, Frank",ETHOLOGY,NA,118,NA,932-942,2012,NA,10.1111/j.1439-0310.2012.02085.x,"Assessing behavioural consistency is crucial to understand the evolution of personality traits. In the present study, we examined the short- and long-term repeatability and stability of two unrelated personality traits exploratory tendencies and struggling rate using captive female zebra finches ( Taeniopygia guttata). We performed two experimental sessions of behavioural tests with a 7-mo interval, which represents up to one quarter of a zebra finch's life expectancy. We showed that, overall, exploratory tendencies and struggling rate were significantly repeatable in the short term. However, only exploratory tendencies were repeatable in the long term. We found interindividual differences in short-term stability of exploratory tendencies, but not struggling rate, providing evidence for differences in intraindividual variability. In the long term, struggling rate significantly decreased between the two experimental sessions, whereas exploratory tendencies remained stable. Finally, the amount of interindividual variation measured at both sessions did not differ. Our results suggest that short- and long-term repeatability and stability of personality may vary between individuals, depending on the behavioural trait under scrutiny. As a consequence, deducing personality from measures realized earlier in a subject's life should be performed with caution. We discuss the implications of inter- and intraindividual variation in personality consistency on individual fitness."
David_2012_IBIS,personality and body condition have additive effects on motivation to feed in zebra finches taeniopygia guttata,"David, Morgan and Auclair, Yannick and Giraldeau, Luc-Alain and Cezilly, Frank",IBIS,NA,154,NA,372-378,2012,NA,10.1111/j.1474-919X.2012.01216.x,"Several hypotheses have been proposed to account for the adaptive evolution of personality, defined as inter-individual differences in behaviour that are consistent over time and across situations. For instance, the pace-of-life syndrome hypothesis suggests that personality evolved as a behavioural correlate of life-history trajectories that vary within populations. Thus, proactivity, corresponding to higher exploratory tendencies or higher boldness levels, has been linked to higher productivity or mortality rates. However, the extent to which proactivity is associated with a higher motivation to forage remains poorly understood. Moreover, although personality and its effects on foraging behaviour are usually considered to be independent of any motivational or nutritional state, few studies so far have challenged this. Here we show that personality traits, both individually or combined using a principal component analysis, and body condition have additive effects on latency to feed following food deprivation in the Zebra Finch Taeniopygia guttata, with personality accounting for 41\% and body condition for about 20\% of the total variation in latency to feed. In accordance with the pace-of-life syndrome hypothesis, latency to feed was negatively related to the degree of proactivity and positively related to body condition. Thus, proactive individuals and individuals in poorer condition were quicker to start feeding after a period of food deprivation. The absence of a significant interaction between personality and body condition further suggests that the effect of personality was independent of body condition. We discuss the relevance of our results in relation to the different factors influencing foraging in birds. Moreover, we place our results within a life-history framework by emphasizing the correlated evolution of life-history traits and personality."
David_2012_JOOFCOPS,handling stress does not reflect personality in female zebra finches (taeniopygia guttata),"David, Morgan and Auclair, Yannick and Dechaume-Moncharmont, Francois-Xavier and Cezilly, Frank",JOURNAL OF COMPARATIVE PSYCHOLOGY,NA,126,NA,10-14,2012,NA,10.1037/a0024636,"Although increasing attention is given to both the causes and consequences of variation in animal personality, the measurement of personality in captive or free-ranging individuals remains an issue. In particular, one important question concerns whether personality should be established from the existence of complex behavioral syndromes (a suite of correlated behavioral traits) or could be more easily deduced from a single variable. In that context, it has recently been suggested that handling stress, measured through breathing rate during handling, could be a good descriptor of personality, at least in passerine birds. The authors experimentally investigated to what extent handling stress was correlated with personality in female zebra finches (Taeniopygia guttata), as assessed from a suite of repeatable behavioral traits, including activity, exploratory behavior, neophobia, and reaction to startle. Although breathing rate was repeatable across individuals, it was not related to any behavioral trait, suggesting that it cannot be used to quickly predict personality, at least in zebra finches. Breathing rate during handling, in addition, was related to morphology, questioning the fact that breathing rate during handling reflects personality irrespective of individual state. The authors suggest that inference on global personality from a reduced number of traits should be performed with caution."
Davidson_2018_ROYASOCIOPENSCIE,repeatable aversion across threat types is linked with life-history traits but is dependent on how aversion is measured,"Davidson, Gabrielle L. and Reichert, Michael S. and Crane, Jodie M. S. and O'Shea, William and Quinn, John L.",ROYAL SOCIETY OPEN SCIENCE,NA,5,NA,NA,2018,NA,10.1098/rsos.172218,"Personality research suggests that individual differences in risk aversion may be explained by links with life-history variation. However, few empirical studies examine whether repeatable differences in risk avoidance behaviour covary with life-history traits among individuals in natural populations, or how these links vary depending on the context and the way risk aversion is measured. We measured two different risk avoidance behaviours (latency to enter the nest and inspection time) in wild great tits (Parus major) in two different contexts-response to a novel object and to a predator cue placed at the nest-box during incubation-and related these behaviours to female reproductive success and condition. Females responded equally strongly to both stimuli, and although both behaviours were repeatable, they did not correlate. Latency to enter was negatively related to body condition and the number of offspring fledged. By contrast, inspection time was directly explained by whether incubating females had been flushed from the nest before the trial began. Thus, our inferences on the relationship between risk aversion and fitness depend on how risk aversion was measured. Our results highlight the limitations of drawing conclusions about the relevance of single measures of a personality trait such as risk aversion."
Davies_2016_BIOLLETT,agonistic urban birds: elevated territorial aggression of urban song sparrows is individually consistent within a breeding period,"Davies, Scott and Sewall, Kendra B.",BIOLOGY LETTERS,NA,12,NA,NA,2016,NA,10.1098/rsbl.2016.0315,"Urban birds often more vigorously defend their territories during simulated intrusions than do their rural counterparts, but the factors responsible remain unclear. To address this issue, we investigated whether the disparity in territorial aggression of urban and rural male song sparrows, Melospiza melodia, is individually consistent within a breeding period. Additionally, to better understand the physiological and ecological factors underlying this behavioural difference, we examined whether territoriality was associated with plasma testosterone, a hormone that contributes to elevated aggression in vertebrates, and/or conspecific density, a factor often positively related to aggression. The urbanization-related difference in territoriality was individually consistent within a breeding period. However, the elevated territorial aggression of urban birds was not associated with plasma testosterone and, counter to our predictions, conspecific density was lower in urban compared with rural areas. We suggest that other aspects of testosterone signalling and features of the socio-ecological environment, such as the availability of breeding sites, may underlie increased territorial aggression in urban birds."
De.Freslon_2014_ARDEMEVE,"characterisation of behavioural reactivity in steers during handling and its relationship with blood cortisol, bruising and meat ph","De Freslon, I. and Strappini, A. and Soto-Gamboa, M. and Gallo, C.",ARCHIVOS DE MEDICINA VETERINARIA,NA,46,NA,229-237,2014,NA,10.4067/S0301-732X2014000200008,"In order to explore the capacity of behavioural tests to predict the incidence of high pH meat (dark cutting) in commercial setting, we assessed the relationship between behavioural reactivity, physiological parameters and meat quality in steers. Fourty-two steers were weighed individually in a scale (2.5x3x2.5m) to assess two behavioural parameters: crush test and exit velocity. Repeatability of the behavioural responses during 3 weighing events was calculated and a consistency scale was created to determine consistency of the parameters. Blood samples were collected from each steer after the second crush test and at bleeding, then analyzed for serum cortisol. Bruising and pH were registered after slaughter on the carcasses. Crush score was highly consistent (r = 0.81-0.87) and exit velocity moderately consistent (r = 0.44-0.60), however individual differences were detected in the ``acclimation{''} and ``sensitization{''} to the test through time. Higher crush score was associated with higher on farm cortisol concentration. Steers producing carcasses with multiple bruises (3-4) had a higher serum cortisol concentration at bleeding (P < 0.05) than steers with less carcass bruising. Behavioural parameters, carcass bruising and meat pH were not statistically associated. We conclude that it is important to evaluate behavioural reactivity using serial tests and we recommend further exploration on the capacity of reactivity tests to detect differences in reactivity that can be reflected in differences in meat quality parameters."
De.Freslon_2014_ArdeMeVe,"characterisation of behavioural reactivity in steers during handling and its relationship with blood cortisol, bruising and meat ph [caracterizacin de la reactividad conductual frente al manejo y su relacin con el cortisol sanguneo, contusiones y ph de la carne en novillos]","De Freslon, I. and Strappini, A. and Soto-Gamboa, M. and Gallo, C.",Archivos de Medicina Veterinaria,NA,46,NA,229-237,2014,NA,NA,"In order to explore the capacity of behavioural tests to predict the incidence of high pH meat (dark cutting) in commercial setting, we assessed the relationship between behavioural reactivity, physiological parameters and meat quality in steers. Fourty-two steers were weighed individually in a scale (2.5x3x2.5m) to assess two behavioural parameters: crush test and exit velocity. Repeatability of the behavioural responses during 3 weighing events was calculated and a consistency scale was created to determine consistency of the parameters. Blood samples were collected from each steer after the second crush test and at bleeding, then analyzed for serum cortisol. Bruising and pH were registered after slaughter on the carcasses. Crush score was highly consistent (r = 0.81-0.87) and exit velocity moderately consistent (r = 0.44-0.60), however individual differences were detected in the ""acclimation"" and ""sensitization"" to the test through time. Higher crush score was associated with higher on farm cortisol concentration. Steers producing carcasses with multiple bruises (3-4) had a higher serum cortisol concentration at bleeding (P < 0.05) than steers with less carcass bruising. Behavioural parameters, carcass bruising and meat pH were not statistically associated. We conclude that it is important to evaluate behavioural reactivity using serial tests and we recommend further exploration on the capacity of reactivity tests to detect differences in reactivity that can be reflected in differences in meat quality parameters.  2014, Universidad Austral de Chile. All rights reserved."
De.Winter_2016_EVOLECOLRESE,"knights in shining armour are not necessarily bold: defensive morphology correlates negatively with boldness, but positively with activity, in wild threespine stickleback, gasterosteus aculeatus","De Winter, Gunnar and Martins, Henrique Ramalho and Trovo, Rafael Arnoni and Chapman, Ben B.",EVOLUTIONARY ECOLOGY RESEARCH,NA,17,NA,279-290,2016,NA,NA,"Background: The threespine stickleback (Gasterosteus aculeatus) varies in armour phenotype from fully armoured to non-armoured morphs. Aim: Investigate the connection between individual variation in behaviour and armour morphology within and across populations. Study organism and site: During the Spring of 2015, we assayed the behaviour of 250 sticklebacks from seven populations on the Scottish island of North Uist, located in the Outer Hebrides. Hypotheses: The `phenotypic compensation' hypothesis holds that individuals with poorer defences should behave more timidly. Yet the energetic costs associated with bearing armour should reduce both the activity and exploration behaviour of more heavily armoured individuals. Methods: We assayed individual stickleback for boldness, exploration, and activity. We then stained the fish with Alizarin red, which allowed the characterization of the armour phenotype of each fish. Results: Across populations, bold fish were less armoured than their shy counterparts and active fish were more armoured. Exploratory behaviour was not correlated with armour phenotype."
DeMatteo_2014_LawandHumBeh,the role and reliability of the psychopathy checklist - revised in u.s. sexually violent predator evaluations: a case law survey,"DeMatteo, D. and Edens, J.F. and Galloway, M. and Cox, J. and Smith, S.T. and Formon, D.",Law and Human Behavior,NA,38,NA,248-255,2014,NA,10.1037/lhb0000059,"The civil commitment of offenders as sexually violent predators (SVPs) is a highly contentious area of U.S. mental health law. The Psychopathy Checklist - Revised (PCL-R) is frequently used in mental health evaluations in these cases to aid legal decision making. Although generally perceived to be a useful assessment tool in applied settings, recent research has raised questions about the reliability of PCL-R scores in SVP cases. In this report, we review the use of the PCL-R in SVP trials identified as part of a larger project investigating its role in U.S. case law. After presenting data on how the PCL-R is used in SVP cases, we examine the reliability of scores reported in these cases. We located 214 cases involving the PCL-R, 88 of which included an actual score and 29 of which included multiple scores. In the 29 cases with multiple scores, the intraclass correlation coefficient for a single evaluator for the PCL-R scores was only.58, and only 41.4% of the difference scores were within 1 standard error of measurement unit. The average score reported by prosecution experts was significantly higher than the average score reported by defense-retained experts, and prosecution experts reported PCL-R scores of 30 or above in nearly 50% of the cases, compared with less than 10% of the cases for defense witnesses ( =.29). In conjunction with other recently published findings demonstrating the unreliability of PCL-R scores in applied settings, our results raise questions as to whether this instrument should be admitted into SVP proceedings.  2013 American Psychological Association."
DeWitt_1999_ANIMBEHA,"trait compensation and cospecialization in a freshwater snail: size, shape and antipredator behaviour","DeWitt, TJ and Sih, A and Hucko, JA",ANIMAL BEHAVIOUR,NA,58,NA,397-407,1999,NA,10.1006/anbe.1999.1158,"We examined relationships between individual differences in antipredator behaviour and prey morphological characters (size, shape) that influence prey vulnerability. Behavioural responses of Physa gyrina to chemical cues associated with predation by crayfish Orconectes rusticus, were assayed in the laboratory for 6 days over a 13-day period. Snails displayed consistent, individually repeatable responses to the predation cues, including hiding (refuge use) and substratum avoidance (crawling to the water surface or out of the water). We assessed shell morphology using morphometric techniques that isolate geometrically independent components of size and shape variation corresponding to aperture width and apertural obstruction. Previous studies indicate that large size, narrow apertures and obstructed apertures reduce morphological vulnerability to the shell-entry predation tactics used by crayfish. In the present study, small, and thus more vulnerable, prey tended to show stronger antipredator behaviour than large prey (i.e. behavioural compensation for morphological vulnerability). In contrast, behavioural and shape-based defences were positively correlated; snails with narrow apertures showed strong antipredator responses. We refer to this `double defence' against predators as cospecialization. With either compensation or cospecialization, suites of correlated behavioural or morphological traits must be studied in tandem to understand the adaptive value of prey responses to predators. (C) 1999 The Association for the Study of Animal Behaviour."
Debeffe_2015_ANIMBEHA,short- and long-term repeatability of docility in the roe deer: sex and age matter,"Debeffe, L. and Lemaitre, J. F. and Bergvall, U. A. and Hewison, A. J. M. and Gaillard, J. M. and Morellet, N. and Goulard, M. and Monestier, C. and David, M. and Verheyden-Tixier, H. and Jaederberg, L. and Vanpe, C. and Kjellander, P.",ANIMAL BEHAVIOUR,NA,109,NA,53-63,2015,NA,10.1016/j.anbehav.2015.08.003,"Behavioural consistency is a key assumption when evaluating how between-individual differences in behaviour influence life history tactics. Hence, understanding how and why variation in behavioural repeatability occurs is crucial. While analyses of behavioural repeatability are common, few studies of wild populations have investigated variation in repeatability in relation to individual status (e.g. sex, age, condition) and over different timescales. Here, we aimed to fill this gap by assessing within-population variation in the repeatability of docility, as assessed by the individual's response to human handling, in a free-ranging population of European roe deer, Capreolus capreolus. Docility was an equally repeatable behaviour at both short- and long-term timescales, suggesting that this behavioural trait is stable across time. Repeatability did not differ markedly between age and sex categories but tended to be higher in juvenile males than in juvenile females. Finally, contrary to expectation, individual variation in the repeatability of docility was not correlated with individual body mass. Further studies are required to assess the life history consequences of the individual variation in docility we report here. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
Decker_2012_JOOFET,correlating context-specific boldness and physiological condition of female sand fiddler crabs (uca pugilator),"Decker, Rachel A. and Griffen, Blaine D.",JOURNAL OF ETHOLOGY,NA,30,NA,403-412,2012,NA,10.1007/s10164-012-0338-9,"Consistent individual behavioral differences across ecological contexts are a recognized feature of animal populations. These differences can be expressed in two ways: context-specifically or context-generally. The former is characterized by consistent responses in one context (i.e. repeatability), whereas the latter by consistency that spans contexts (i.e. behavioral syndromes). The proximate causes of behavioral consistency remain unclear, yet there is evidence that physiology may couple the expression of some behavioral traits in unrelated contexts. We therefore explored the correlation between bold behavior of female sand fiddler crabs (Uca pugilator) and the condition of the hepatopancreas, an organ vital to crustacean metabolism and reproduction. We did this by taking replicate measurements of two risk-taking behaviors per individual in the contexts of predator avoidance and environment exploration, and examining correlations within and between these observations. We then determined the relationship of behavior with hepatopancreas mass and lipid content. Individual crabs responded consistently within each context. However, across-context correlations were absent, indicating that boldness is isolated, at least in the selected scenarios. Additionally, anti-predator and exploratory behaviors were significantly influenced by size but not linked to hepatopancreas physiology. Our results show that context-specific trait expression may occur in the absence of a physiological correlate."
Defife_2015_JOOFPEAS,clinical validity of prototype personality disorder ratings in adolescents,"Defife, Jared A. and Haggerty, Greg and Smith, Scott W. and Betancourt, Luis and Ahmed, Zain and Ditkowsky, Keith",JOURNAL OF PERSONALITY ASSESSMENT,NA,97,NA,271-277,2015,NA,10.1080/00223891.2014.979493,"A growing body of research shows that personality pathology in adolescents is clinically distinctive and frequently stable into adulthood. A reliable and useful method for rating personality pathology in adolescent patients has the potential to enhance conceptualization, dissemination, and treatment effectiveness. The aim of this study is to examine the clinical validity of a prototype matching approach (derived from the Shedler Westen Assessment Procedure-Adolescent Version) for quantifying personality pathology in an adolescent inpatient sample. Sixty-six adolescent inpatients and their parents or legal guardians completed forms of the Child Behavior Checklist (CBCL) assessing emotional and behavioral problems. Clinical criterion variables including suicide history, substance use, and fights with peers were also assessed. Patients' individual and group therapists on the inpatient unit completed personality prototype ratings. Prototype diagnoses demonstrated substantial reliability (median intraclass correlation coefficient =.75) across independent ratings from individual and group therapists. Personality prototype ratings correlated with the CBCL scales and clinical criterion variables in anticipated and meaningful ways. As seen in prior research with adult samples, prototype personality ratings show clinical validity across independent clinician raters previously unfamiliar with the approach, and they are meaningfully related to clinical symptoms, behavioral problems, and adaptive functioning."
Dehnhard_2015_PLoONE,individual consistency and phenotypic plasticity in rockhopper penguins: female but not male body mass links environmental conditions to reproductive investment,"Dehnhard, N. and Eens, M. and Demongin, L. and Quillfeldt, P. and Poisbleau, M.",PLoS ONE,NA,10,NA,NA,2015,NA,10.1371/journal.pone.0128776,"In marine habitats, increasing ocean temperatures due to global climate change may distinctly reduce nutrient and consequently food availability for seabirds. Food availability is a known driver of body mass and reproductive investment in birds, but these traits may also depend on individual effects. Penguins show extreme intra-annual body mass variation and rely on accumulated body reserves for successful breeding. However, no study so far has tested individual consistency and phenotypic responses in body mass and reproductive investment in this taxon. Using a unique dataset on individually marked female and male southern rockhopper penguins (Eudyptes chrysocome chrysocome) across six years, we investigated 1) the individual consistency in body mass (measured at egg laying), body condition and reproductive investment across years, subsequently 2) identified the bestexplanatory temperature-related environmental variables for female and male body mass, and 3) tested the effect of female and male body mass on reproductive investment. Body mass, body condition and reproductive investment were all highly repeatable. As body condition should control for the structural size of the birds, the similarly high repeatability estimates for body mass and body condition suggested that the consistent between-individual body mass differences were independent of structural size. This supported the use of body mass for the subsequent analyses. Body mass was higher under colder environmental conditions (positive Southern Annular Mode), but the overall phenotypic response appeared limited. Reproductive investment increased with female but not male body mass. While environmental effects on body mass in our study period were rather small, one can expect that ongoing global climate change will lead to a deterioration of food availability and we might therefore in the long-term expect a phenotypical decline in body mass and reproductive investment.  2015 Dehnhard et al."
Dehnhard_2016_EcoandEvo,is individual consistency in body mass and reproductive decisions linked to individual specialization in foraging behavior in a long-lived seabird?,"Dehnhard, N. and Eens, M. and Sturaro, N. and Lepoint, G. and Demongin, L. and Quillfeldt, P. and Poisbleau, M.",Ecology and Evolution,NA,6,NA,4488-4501,2016,NA,10.1002/ece3.2213,"Individual specialization in diet or foraging behavior within apparently generalist populations has been described for many species, especially in polar and temperate marine environments, where resource distribution is relatively predictable. It is unclear, however, whether and how increased environmental variability  and thus reduced predictability of resources  due to global climate change will affect individual specialization. We determined the within- and among-individual components of the trophic niche and the within-individual repeatability of 13C and 15N in feathers and red blood cells of individual female southern rockhopper penguins (Eudyptes chrysocome) across 7years. We also investigated the effect of environmental variables (Southern Annular Mode, Southern Oscillation Index, and local sea surface temperature anomaly) on the isotopic values, as well as the link between stable isotopes and female body mass, clutch initiation dates, and total clutch mass. We observed consistent red blood cell 13C and 15N values within individuals among years, suggesting a moderate degree of within-individual specialization in C and N during the prebreeding period. However, the total niche width was reduced and individual specialization not present during the premolt period. Despite significant interannual differences in isotope values of C and N and environmental conditions, none of the environmental variables were linked to stable isotope values and thus able to explain phenotypic plasticity. Furthermore, neither the within-individual nor among-individual effects of stable isotopes were found to be related to female body mass, clutch initiation date, or total clutch mass. In conclusion, our results emphasize that the degree of specialization within generalist populations can vary over the course of 1year, even when being consistent within the same season across years. We were unable to confirm that environmental variability counteracts individual specialization in foraging behavior, as phenotypic plasticity in 13C and 15N was not linked to any of the environmental variables studied.  2016 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd."
Delhey_2006_JoofAvBi,age differences in blue tit parus caeruleus plumage colour: within-individual changes or colour-biased survival?,"Delhey, K. and Kempenaers, B.",Journal of Avian Biology,NA,37,NA,339-348,2006,NA,10.1111/j.2006.0908-8857.03655.x,"In many species of passerine birds yearlings display a less elaborate version of the adult secondary sexual traits, but the causes of such differences in ornamentation are not always well understood. We studied age-related changes in blue tit Parus caeruleus UV/blue structural crown coloration, a sexually selected trait. In our Austrian study population, older blue tits, irrespective of sex, displayed on average a more ultraviolet (lower hue, higher UV chroma), more chromatic and brighter crown coloration than yearlings. This age dichromatism was caused by within-individual changes in the expression of crown coloration between years since males and females became more UV, more chromatic and brighter as they aged. Colour biased survival did not contribute to the observed pattern of age dichromatism since crown coloration was largely unrelated to overwinter survival. Between-year repeatability of crown colour was significant for most colour variables but low in general, and lower for females than for males. In the blue tit, yearling males might benefit from being less ornamented by avoiding adult aggression but at the expense of sexual attractiveness. Adaptive explanations of blue tit age dichromatism should however take into account that age effects were of similar magnitude in males and females. This suggests that both male and female yearlings could benefit from being less ornamented and hence that sexual selection might be acting on both sexes simultaneously in this species.  Journal of Avian Biology."
Dennis_2016_Nutr,phenotypic stability of energy balance responses to experimental total sleep deprivation and sleep restriction in healthy adults,"Dennis, L.E. and Spaeth, A.M. and Goel, N.",Nutrients,NA,8,NA,NA,2016,NA,10.3390/nu8120823,"Experimental studies have shown that sleep restriction (SR) and total sleep deprivation (TSD) produce increased caloric intake, greater fat consumption, and increased late-night eating. However, whether individuals show similar energy intake responses to both SR and TSD remains unknown. A total of N = 66 healthy adults (aged 2150 years, 48.5% women, 72.7% African American) participated in a within-subjects laboratory protocol to compare daily and late-night intake between one night of SR (4 h time in bed, 04:0008:00) and one night of TSD (0 h time in bed) conditions. We also examined intake responses during subsequent recovery from SR or TSD and investigated gender differences. Caloric and macronutrient intake during the day following SR and TSD were moderately to substantially consistent within individuals (Intraclass Correlation Coefficients: 0.340.75). During the late-night period of SR (22:0004:00) and TSD (22:0006:00), such consistency was slight to moderate, and participants consumed a greater percentage of calories from protein (p = 0.01) and saturated fat (p = 0.02) during SR, despite comparable caloric intake (p = 0.12). Similarly, participants consumed a greater percentage of calories from saturated fat during the day following SR than TSD (p = 0.03). Participants also consumed a greater percentage of calories from protein during recovery after TSD (p < 0.001). Caloric intake was greater in men during late-night hours and the day following sleep loss. This is the first evidence of phenotypic trait-like stability and differential vulnerability of energy balance responses to two commonly experienced types of sleep loss: our findings open the door for biomarker discovery and countermeasure development to predict and mitigate this critical health-related vulnerability.  2016 by the authors; licensee MDPI, Basel, Switzerland."
Desrochers_1993_BehaEcol,environmental predictability and remating in european blackbirds,"Desrochers, A. and Magrath, R.D.",Behavioral Ecology,NA,4,NA,271-272,1993,NA,10.1093/beheco/4.3.271,"We studied mate and site fidelity between years in an English population of blackbirds (Turdus merula) from 1985 to 1991. Divorce was observed in 32% of 183 cases where mates had survived from the previous breeding season. After divorces, females tended to nest farther from their original site than males did, but there was no sex difference in distance moved after the death of a mate. The mean annual fledgling production of 60 m x 60 m breeding sites was statistically repeatable among years, even after accounting for possible differences in reproductive performance among site-tenacious individuals. Divorce rates were greatest in low-quality sites. We found no annual fitness cost associated with mating with an unfamiliar bird. However, breeding in a new site cost on average one fledgling per year.  1993 International Society for Behavioral Ecology."
Deventer_2016_ETHO,behavioural type affects space use in a wild population of crows (corvus corone),"Deventer, Sarah A. and Uhl, Florian and Bugnyar, Thomas and Miller, Rachael and Fitch, W. Tecumseh and Schiestl, Martina and Ringler, Max and Schwab, Christine",ETHOLOGY,NA,122,NA,881-891,2016,NA,10.1111/eth.12536,"While personality-dependent dispersal is well studied, local space use has received surprisingly little attention in this context, despite the multiple consequences on survival and fitness. Regarding the coping style of individuals, recent studies on personality-dependent space use within a habitat indicate that `proactive' individuals are wider ranging than `reactive' ones. However, such studies are still scarce and cover limited taxonomic diversity, and thus, more research is needed to explore whether this pattern generalises across species. We examined the link between coping style and space use in a population of crows (Corvus corone) freely inhabiting the urban zoo of Vienna, Austria. We used a binary docility rating (struggle during handling vs. no struggle) and a tonic immobility test to quantify individual coping style. Individual space use was quantified as the number of different sites at which each crow was observed, and we controlled for different number of sightings per individual by creating a space use index. Only the binary docility rating showed repeatability over time, and significantly predicted space use. In contrast to previous studies, we found that reactive crows (no struggle during handling) showed wider ranging space use within the study site than proactive individuals (who struggled during handling). The discrepancy from previous results suggests that the relationship between behavioural type and space use may vary between species, potentially reflecting differences in socioecology."
